Symbol	Der_p1_Active__1	Der_p1_Active__2	Der_p1_Active__3	Can_F_1__1	Can_F_1__2	Can_F_1__3	Der_p1_Inactive__1	Der_p1_Inactive__2	Der_p1_Inactive__3	Poly_IC__1	Poly_IC__2	Poly_IC__3	Unstimulated__1	Unstimulated__2	Unstimulated__3
hsa-let-7a-3p	0	0	0	14	4	2	2	12	2	0	10	0	0	0	0
hsa-let-7a-5p	3	24	0	12	0	0	9	0	36	12	18	0	0	9	0
hsa-let-7b-5p	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7c-5p	4	137	9	92	26	0	20	19	49	0	71	11	15	51	4
hsa-let-7d-3p	1	6	0	0	0	1	0	0	2	9	1	0	0	0	0
hsa-let-7d-5p	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
hsa-let-7f-5p	0	4	4	6	2	0	4	6	2	0	8	2	6	2	0
hsa-let-7g-5p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7i-5p	22	7	28	0	4	44	4	11	4	2	7	5	11	1	8
hsa-miR-1-3p	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0
hsa-miR-100-5p	0	0	0	0	0	0	0	75	0	0	0	22	5	0	1
hsa-miR-101-3p	38	22	70	2	14	28	2	12	28	18	42	6	0	2	12
hsa-miR-10395-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4
hsa-miR-10396a-5p	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0
hsa-miR-10396b-5p	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0
hsa-miR-103a-3p	150	34	62	10	32	54	18	50	72	48	24	0	20	8	12
hsa-miR-10400-5p	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-10401-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-10401-5p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-106b-3p	0	6	1	0	0	3	0	0	0	0	4	0	5	0	0
hsa-miR-107	61	16	21	2	15	24	9	19	32	11	12	0	10	4	5
hsa-miR-10a-3p	5	0	21	0	0	4	4	8	0	0	1	1	6	0	5
hsa-miR-10a-5p	36	2	12	1	10	19	6	14	4	5	13	1	16	0	0
hsa-miR-1180-3p	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
hsa-miR-1207-5p	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0
hsa-miR-12136	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-124-3p	0	0	0	0	0	0	0	0	0	0	0	3	0	0	24
hsa-miR-1243	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-1246	50	8	24	13	6	38	29	14	22	10	27	22	1	3	26
hsa-miR-1255b-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-125a-3p	0	0	0	4	0	4	0	0	0	0	0	0	4	0	0
hsa-miR-125a-5p	6	4	6	1	0	2	2	2	9	5	11	5	0	0	0
hsa-miR-125b-5p	10	28	10	46	58	0	4	0	26	14	50	6	0	8	0
hsa-miR-126-3p	4	5	7	4	10	17	7	6	3	2	6	5	0	9	8
hsa-miR-126-5p	3	8	0	0	7	0	0	2	12	0	7	0	1	2	0
hsa-miR-1260a	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0
hsa-miR-1260b	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-127-5p	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1270	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-128-3p	35	18	20	0	14	45	0	26	0	16	24	0	16	2	8
hsa-miR-1290	226	116	228	72	100	239	123	88	231	46	198	99	28	3	145
hsa-miR-1307-3p	0	0	6	0	0	2	0	0	0	0	0	2	0	0	0
hsa-miR-1307-5p	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
hsa-miR-130a-3p	4	0	1	0	2	0	0	6	0	0	0	0	0	0	1
hsa-miR-130b-3p	35	16	8	0	5	7	10	19	11	8	11	11	22	0	15
hsa-miR-132-3p	0	0	5	0	2	4	0	8	0	0	4	0	0	0	0
hsa-miR-133a-3p	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
hsa-miR-1343-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-miR-136-3p	2	0	0	6	1	0	0	0	0	0	1	0	0	0	0
hsa-miR-136-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-138-1-3p	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
