"","Der_p1_Active__1","Der_p1_Active__2","Der_p1_Active__3","Can_F_1__1","Can_F_1__2","Can_F_1__3","Der_p1_Inactive__1","Der_p1_Inactive__2","Der_p1_Inactive__3","Poly_IC__1","Poly_IC__2","Poly_IC__3","Unstimulated__1","Unstimulated__2","Unstimulated__3"
"hsa-let-7c-5p",678.863980309247,85545.6280824403,2222.31043350334,161043.485884613,17287.1031267521,0,15417.6645225776,6527.11776790362,16709.6965466521,0,27213.0718429813,8925.18501104443,7315.21575773733,97910.2190029445,2153.07362705012
"hsa-let-7i-5p",4978.33585560114,4829.18868207324,6913.85468201041,0,2659.55432719263,16264.2438064827,2720.7643275137,3778.85765510209,1806.45368071914,1282.84661679108,2930.63850616722,4958.43611724691,5364.49155567405,2083.19614899882,4306.14725410025
"hsa-miR-101-3p",4299.4718752919,7588.72507182938,8642.31835251301,1851.07455039785,4654.2200725871,5174.98666569904,906.921442504567,2061.19508460114,6322.587882517,5772.80977555984,8791.91551850167,2975.06167034814,0,2083.19614899882,3229.61044057518
"hsa-miR-103a-3p",16292.7355274219,11728.0296564636,7654.62482651152,9255.37275198925,9973.32872697237,9980.33142670529,8162.29298254111,8588.31285250476,16258.0831264723,15394.1594014929,5023.95172485809,0,4876.81050515822,8332.78459599528,3229.61044057518
"hsa-miR-107",13124.7036193121,11038.1455590246,5185.3910115078,3702.1491007957,9308.44014517421,8871.40571262693,8162.29298254111,6527.11776790362,14451.6294457531,7055.65639235092,5023.95172485809,0,4876.81050515822,8332.78459599528,2691.34203381265
"hsa-miR-10a-5p",8146.36776371096,1379.76819487807,2963.08057800446,1851.07455039785,6648.88581798158,7023.19618916299,5441.5286550274,4809.45519740266,1806.45368071914,3207.11654197769,5442.61436859627,991.687223449381,7802.89680825316,0,0
"hsa-miR-1246",7920.07977027455,2759.53638975614,2716.15719650409,11106.4473023871,1994.66574539447,8501.76380793414,12696.9001950639,3778.85765510209,5419.36104215743,4489.96315876877,4186.62643738175,9916.87223449381,0,4166.39229799764,12918.4417623007
"hsa-miR-125b-5p",1131.43996718208,7588.72507182938,1234.61690750186,40723.6401087527,13297.7716359632,0,1813.84288500913,0,3161.2939412585,4489.96315876877,10466.5660934544,0,0,0,0
"hsa-miR-126-3p",905.151973745662,3449.42048719517,1728.4636705026,7404.2982015914,6648.88581798158,6283.91237977741,6348.45009753197,2061.19508460114,1354.84026053936,1282.84661679108,2511.97586242905,4958.43611724691,0,18748.7653409894,4306.14725410025
"hsa-miR-126-5p",678.863980309247,5519.07277951228,0,0,4654.2200725871,0,0,687.06502820038,5419.36104215743,0,2930.63850616722,0,487.681050515822,4166.39229799764,0
"hsa-miR-128-3p",4299.4718752919,6208.95687695131,2469.23381500372,0,4654.2200725871,9241.04761731972,0,4465.92268330247,0,5131.3864671643,5023.95172485809,0,3901.44840412658,2083.19614899882,2153.07362705012
"hsa-miR-1290",48651.9185888294,77267.0189131719,53088.5270225799,120319.84577586,64494.1924344213,81690.8609371063,99761.3586755024,29200.2636985162,100258.179279912,27581.2022610081,75777.9385166096,86276.7884400962,13167.3883639272,4166.39229799764,76972.3821670419
"hsa-miR-130b-3p",7920.07977027455,11038.1455590246,1975.38705200297,0,3324.44290899079,2587.49333284952,9069.21442504567,6527.11776790362,4967.74762197764,5131.3864671643,4605.28908111992,10908.5594579432,10728.9831113481,0,8074.02610143796
"hsa-miR-140-3p",4299.4718752919,0,5926.16115600892,1851.07455039785,0,3326.7771422351,6348.45009753197,3435.3251410019,451.613420179785,3207.11654197769,2511.97586242905,1983.37444689876,0,0,3767.87884733772
"hsa-miR-143-3p",1131.43996718208,6898.84097439035,493.846763000743,5553.22365119355,3989.33149078895,2957.13523754231,2720.7643275137,4122.39016920228,3161.2939412585,1924.26992518661,2093.31321869087,9916.87223449381,3901.44840412658,10415.9807449941,8074.02610143796
"hsa-miR-143-5p",452.575986872831,2069.6522923171,740.770144501115,7404.2982015914,1329.77716359632,1848.20952346394,2720.7643275137,687.06502820038,1806.45368071914,1282.84661679108,418.662643738175,9916.87223449381,0,8332.78459599528,1076.53681352506
