"","Control__1","Control__2","Control__3","Dose0_005__1","Dose0_005__2","Dose0_005__3","Dose0_08__1","Dose0_08__2","Dose0_08__3","Dose2__1","Dose2__2","Dose2__3","Dose24__1","Dose24__2","Dose24__3"
"hsa-let-7a-3p",829.368200067929,332.445190430692,348.40674559184,621.838482322457,0,67.3001183888388,104.715541880257,0,0,454.91198934525,62.7400344532074,0,162.753784751314,208.104780028488,104.462515175865
"hsa-let-7a-5p",0,731.379418947522,174.20337279592,488.587378967645,0,100.950177583258,314.146625640771,174.319944464477,88.9678929415261,0,439.180241172452,186.784507954855,61.0326692817428,198.19502859856,417.85006070346
"hsa-let-7b-5p",355.443514314827,531.912304689107,435.5084319898,310.919241161229,323.287951328412,647.763639492573,383.956986894276,1285.60959042552,444.83946470763,1792.88842859598,1160.69063738434,1718.41747318467,1383.40717038617,1466.64321162935,1131.67724773854
"hsa-let-7c-5p",1066.33054294448,2127.64921875643,174.20337279592,1066.0088268385,848.630872237082,799.18890586746,139.620722507009,435.799861161193,88.9678929415261,294.354816635162,439.180241172452,1681.06057159369,712.047808287,336.931548617552,330.797964723573
"hsa-let-7e-5p",0,265.956152344553,0,0,202.054969580258,67.3001183888388,314.146625640771,0,296.55964313842,347.873874205191,31.3700172266037,149.427606363884,142.4095616574,109.007265729208,383.029222311505
"hsa-let-7f-5p",1777.21757157413,3590.40805665147,783.915177581641,1154.84289574171,2586.3036106273,1808.69068170004,2303.74192136565,1481.71952794806,860.022965101419,1311.21691046572,5050.5727734832,3399.47804477836,4435.04063447331,4538.66615490703,6058.82588020017
"hsa-let-7g-5p",355.443514314827,465.423266602968,1567.83035516328,310.919241161229,404.109939160515,1059.97686462421,279.241445014019,653.69979174179,652.431214904524,829.545392335455,627.400344532074,933.922539774275,651.015139005257,673.863097235105,400.439641507483
"hsa-let-7i-5p",1777.21757157413,4920.18881837424,6358.42310705108,4441.70344516041,6384.93703873614,7731.10109991785,3699.94914643575,5403.91827839879,7710.55072159893,4228.00554803232,3921.25215332546,6537.45777841992,6693.2493978978,6570.16519804227,6267.7509105519
"hsa-miR-100-5p",5746.33681475636,5053.16689454651,4093.77926070412,4930.29082412805,2101.37168363468,4542.75799124662,1989.59529572488,4052.93870879909,5516.00936237462,6395.52737961851,4893.72268735018,4893.7541084172,4028.15617259503,4241.37361200919,6093.64671859213
"hsa-miR-101-3p",1244.05230010189,3124.9847900485,2090.44047355104,4352.8693762572,3717.81144027674,3575.31878940706,3141.46625640771,5207.80834087626,4893.23411178393,4522.36036466748,3231.11177434018,3474.1918479603,2237.86454033057,2943.19617468862,4230.73186462253
"hsa-miR-103a-3p",3021.26987167603,5718.0572754079,5748.71130226536,4264.03530735399,3232.87951328412,13014.1603934417,5200.8719133861,4641.26852136671,5931.1928627684,7920.82052036435,7026.88385875923,8330.58905478653,15278.5115435296,16390.7288651009,18611.7381205
"hsa-miR-107",888.608785787067,3523.91901856533,3222.76239672452,3375.69461832191,1333.5627992297,4155.78231051079,2548.07818575292,2876.27908366387,4418.73868276246,3237.90298298678,1662.61091301,3698.33325750613,3499.20637215326,3240.48871758646,3116.46503607997
"hsa-miR-1180-3p",947.849371506204,531.912304689107,1567.83035516328,710.672551225666,1333.5627992297,1287.11476418654,1710.35385071086,762.649757032088,1245.55050118137,535.190575700294,596.030327305471,784.494933410391,610.326692817428,1000.88489442273,922.752217386808
"hsa-miR-1246",296.202928595689,1595.73691406732,783.915177581641,0,646.575902656824,2868.66754632425,1849.97457321787,435.799861161193,177.935785883052,535.190575700294,125.480068906415,1568.98986682078,589.982469723514,1090.07265729208,4282.96312221047
"hsa-miR-125a-5p",2902.78870023775,1928.18210449801,87.1016863979601,2442.93689483823,1171.91882356549,2456.45432119262,1256.58650256308,2244.36928498014,3351.12396746415,2274.55994672625,2290.01125754207,3137.97973364156,9480.40796176405,6471.06768374299,4665.99234452197
"hsa-miR-125b-2-3p",296.202928595689,398.93422851683,435.5084319898,310.919241161229,323.287951328412,117.775207180468,942.439876922313,283.269909754775,296.55964313842,187.316701495103,376.440206719245,709.781130228449,40.6884461878286,99.0975142992801,208.92503035173
"hsa-miR-125b-5p",947.849371506204,1861.69306641187,1567.83035516328,4308.4523418056,2020.54969580258,2220.90390683168,837.724335042056,1612.45948629641,1304.86242980905,1873.16701495103,1850.83101636962,1456.91916204787,4658.82708850637,3399.04474046531,3116.46503607997
"hsa-miR-128-3p",1184.81171438276,997.335571292075,522.61011838776,1776.68137806416,2465.07062887914,673.001183888388,1116.96578005608,1372.76956265776,1482.7982156921,1418.25502560578,1035.21056847792,635.067327046507,651.015139005257,574.765582935824,435.260479899438
"hsa-miR-1290",1658.73640013586,5452.10112306334,2351.74553274492,533.004413419249,1414.3847870618,1909.6408592833,23700.6176455648,3203.12897953477,622.775250590683,1819.647957381,4329.06237727131,14942.7606363884,1037.55537778963,1694.56749451769,1653.98982361786
"hsa-miR-1307-3p",473.924685753102,598.401342775245,1393.62698236736,1243.67696464491,1293.15180531365,555.22597670792,2233.93156011215,1394.55955571582,919.334893729103,668.988219625367,564.660310078867,1531.63296522981,386.540238784371,158.556022878848,504.902156683348
"hsa-miR-130a-3p",414.684100033964,332.445190430692,435.5084319898,1421.34510245133,323.287951328412,185.075325569307,244.336264387266,261.479916696716,0,26.7595287850147,250.96013781283,37.356901590971,244.130677126971,227.924282888344,34.820838391955
"hsa-miR-130b-3p",355.443514314827,0,522.61011838776,88.8340689032082,121.232981748155,67.3001183888388,767.913973788552,196.109937522537,148.27982156921,160.557172710088,0,0,20.3442230939143,99.0975142992801,104.462515175865
"hsa-miR-132-3p",0,398.93422851683,348.40674559184,1954.34951587058,808.21987832103,858.076509457694,942.439876922313,719.069770915968,860.022965101419,722.507277195397,1693.9809302366,896.565638183304,1057.89960088354,1050.43365157237,992.393894170718
"hsa-miR-133a-3p",533.16527147224,265.956152344553,871.0168639796,222.08517225802,0,0,0,0,0,53.5190575700294,313.700172266037,0,0,0,0
