"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-453279","R-HSA-453279","Mitotic G1 phase and G1/S transition","67/1871","139/11287",0.482014388489209,2.90780139116927,10.0882485356986,3.19455486627717e-18,5.50741258946183e-15,5.50741258946183e-15,"26271/7465/1032/4175/7153/207/4173/5933/1022/5693/4171/5704/5000/4609/1026/5714/5427/5928/208/4605/1876/55388/5717/1859/983/1870/894/1871/25/23594/7298/1021/5426/1869/6118/51053/6117/990/5688/6241/1875/5707/7083/81620/5422/890/4174/5705/7311/1019/1027/993/55957/5519/4172/1029/595/4176/11047/4149/5684/84515/5557/5111/9861/286826/5515",67
"R-HSA-5663202","R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","146/1871","453/11287",0.322295805739514,1.94428260790053,9.14387684219426,4.42709821166751e-17,3.81615865845739e-14,3.81615865845739e-14,"8841/4088/867/6249/207/10533/7291/5894/11140/7529/3066/11116/182/3845/2255/5693/5704/6934/7094/3320/4609/1026/5714/5529/4478/9372/11044/3516/4763/5908/1024/208/8878/6711/4893/1956/5906/4204/8850/8087/60/5717/6400/57674/4869/5432/8503/1786/22916/9759/4851/5527/8658/2099/4296/7040/5441/7157/7525/7855/8660/10818/5296/10018/4193/5599/57534/2308/4254/627/7750/55733/4916/5781/51107/2648/255324/6774/1839/4089/5688/5295/2064/842/399687/22872/5707/192669/2033/8323/4170/598/5594/5880/9648/6772/3667/10014/4627/5705/2475/673/7311/5903/1848/1027/23164/2066/2962/6777/10342/27161/26523/71/5595/57670/1385/409/8844/6868/808/5519/4233/7170/102/7048/5728/9444/11047/83999/79885/5684/801/57085/324/1051/9861/142678/55750/940/4087/5170/2069/2885/5515/3815",146
"R-HSA-69620","R-HSA-69620","Cell Cycle Checkpoints","103/1871","292/11287",0.352739726027397,2.12793868929515,8.70468368770516,3.19237498089079e-15,1.66576228106026e-12,1.66576228106026e-12,"10403/57405/7465/81929/5347/4175/6249/4173/7529/165918/5693/4171/5704/5000/991/472/79980/1026/5714/5529/64682/701/9735/11065/7531/5984/55388/27338/5717/983/55143/5932/641/8945/7534/23594/5527/7157/1111/7514/4193/6118/55166/699/6117/9088/990/9212/5688/1432/10971/80010/5707/79023/1454/85236/79184/348995/890/5985/4174/5705/1783/7311/55839/5903/54820/63967/1027/993/81565/55920/11200/7468/5519/4172/1029/220134/151648/4176/3619/23122/9156/140735/11047/5684/84515/4361/554313/79019/3017/11130/11004/580/79682/8924/9861/8370/672/8349/4194/5515/8343",103
"R-HSA-69206","R-HSA-69206","G1/S Transition","57/1871","121/11287",0.471074380165289,2.84180466537981,9.07948329494723,3.86487768227438e-15,1.66576228106026e-12,1.66576228106026e-12,"26271/7465/4175/207/4173/5933/1022/5693/4171/5704/5000/4609/1026/5714/5427/5928/208/1876/55388/5717/983/23594/7298/5426/1869/6118/51053/6117/990/5688/6241/1875/5707/7083/81620/5422/890/4174/5705/7311/1019/1027/993/55957/5519/4172/595/4176/11047/4149/5684/84515/5557/5111/9861/286826/5515",57
"R-HSA-69242","R-HSA-69242","S Phase","64/1871","150/11287",0.426666666666667,2.57391056476038,8.64998316162064,2.91273365743681e-14,1.00431056508421e-11,1.00431056508421e-11,"10735/7465/4175/207/4173/994/1022/8243/5693/4171/5704/5000/23063/4609/1026/5714/5427/64682/9837/5928/208/11065/2237/51659/5984/27338/5717/113130/9126/23594/64785/5426/1869/6118/51053/6117/990/5688/1875/5424/5707/81620/5422/890/5985/4174/5705/7311/1019/1027/993/55957/157570/4172/595/4176/11047/4149/5684/84515/5557/5111/9861/286826",64
"R-HSA-8939211","R-HSA-8939211","ESR-mediated signaling","81/1871","222/11287",0.364864864864865,2.20108483684112,8.05653232837317,3.90108266882015e-13,1.12091108684099e-10,1.12091108684099e-10,"27327/3480/10735/1025/207/5241/8243/3845/861/3320/4609/333932/8357/208/23112/57678/4893/1956/8850/3021/5432/8503/8338/9126/7764/4318/2099/865/5441/55970/6667/7514/5296/255324/6387/1839/4313/8351/5295/127933/192669/2033/8202/7031/5594/85236/3326/2288/9166/4602/8331/1027/7528/2066/2962/27161/26523/5595/55625/1385/596/1386/808/595/801/8358/554313/3017/10499/2002/8337/8370/8349/5170/2069/3838/857/10681/4316/1903/8343",81
"R-HSA-3700989","R-HSA-3700989","Transcriptional Regulation by TP53","113/1871","356/11287",0.317415730337079,1.91484305094314,7.81835411961213,5.81290595203078e-13,1.43163569447158e-10,1.43163569447158e-10,"27327/9150/355/1025/7994/207/5933/387893/5608/7529/57459/3066/1022/55215/10397/472/1026/2821/117584/9219/5928/208/7248/23112/57472/7531/5984/4850/6874/983/143686/4869/5432/5932/28996/641/1350/2177/7534/5305/5527/79733/57103/5441/7157/22974/54205/11198/1111/51616/51755/4193/94241/27166/204851/6924/1869/6118/4512/6117/9212/6446/4697/29883/1432/10971/8445/80010/905/192669/2033/55835/23019/8851/5366/890/5985/2475/5371/7311/1027/147923/11200/2962/581/83667/27161/26523/58528/1386/5562/5876/5519/1029/64121/53615/1108/5728/9156/4361/3486/79837/54971/5111/1457/580/672/6749/1820/5170/4194/5515/8795",113
"R-HSA-1257604","R-HSA-1257604","PIP3 activates AKT signaling","89/1871","263/11287",0.338403041825095,2.04145116679842,7.61764754295903,3.67800765720558e-12,7.27100206051976e-10,7.27100206051976e-10,"27327/9112/8841/23186/2146/207/8975/57459/3066/2255/5693/5704/51135/1026/5714/5529/1822/9219/5928/208/23112/57332/1956/5717/8503/5305/5527/8658/2099/6615/7157/8660/10818/5296/23396/4193/2308/23466/4254/23512/3654/627/331/4916/5781/5978/255324/1839/6446/5688/5295/2064/842/5707/192669/5594/5880/3667/10014/5705/2475/5371/7311/1027/2066/27161/26523/81847/5595/1385/58528/1386/5519/4233/64121/53615/1108/5728/11047/5684/79837/1457/9861/940/5170/2069/2885/5515/3815",89
"R-HSA-9006925","R-HSA-9006925","Intracellular signaling by second messengers","99/1871","305/11287",0.324590163934426,1.95812355976904,7.5614382725025,3.79576673693027e-12,7.27100206051976e-10,7.27100206051976e-10,"27327/9112/8841/23186/2146/207/8975/57459/3066/2255/5693/5704/51135/1026/5714/5529/1822/9219/5928/208/23112/57332/1956/5717/8503/109/5305/5136/5527/8658/2099/6615/7157/8660/107/10818/5296/23396/4193/5578/2308/23466/4254/23512/3654/627/331/4916/5781/5978/255324/1839/6446/5688/5295/2064/842/5707/192669/115/5594/5880/3667/10014/5705/2475/5371/7311/1027/2066/27161/26523/81847/5595/1385/58528/1386/808/5519/4233/64121/53615/1108/5728/11047/5684/801/5567/79837/1457/9861/940/3708/5170/2069/2885/3838/5515/3815",99
"R-HSA-68886","R-HSA-68886","M Phase","120/1871","406/11287",0.295566502463054,1.78303533580999,7.16281384223333,2.35436426839934e-11,4.02510109368725e-09,4.02510109368725e-09,"23397/26271/10735/10403/57405/81929/5347/79441/6249/387893/3930/25836/11116/8243/5693/5704/64151/991/8636/23063/3320/84131/79980/5714/5529/333932/64682/701/9735/8357/11065/23225/100526767/7531/10776/27338/3842/5717/983/3021/9232/9818/55143/8338/113130/10381/9126/93323/5527/5861/7514/5578/5901/51652/85378/55166/9883/55732/699/22897/9212/5688/8351/5707/79023/55835/1454/53371/5594/85236/8086/348995/5705/1783/7311/55839/5903/10376/8331/23133/23399/54820/9918/81565/9738/55920/5595/81876/9700/29781/5519/220134/95681/151648/3619/23122/140735/5116/11047/1104/5684/8021/6418/8358/554313/79019/3017/11130/1457/11004/10121/79682/8337/9861/8370/4001/203068/8349/5515/8343",120
