"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5663202","R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","160/2421","453/11287",0.353200883002208,1.64666599192314,7.34071328503331,3.02276930100825e-12,5.21125427493823e-09,3.77660052393462e-09,"9759/7157/1956/89780/4916/139285/9451/5604/80853/2280/842/4478/6400/4089/6249/79412/1051/5170/2475/6711/1027/6233/5529/27044/1499/3065/3690/57085/4170/11064/5291/22872/161742/10817/54567/2308/3265/2335/9612/1387/182/4233/2065/79109/5294/7409/8658/5700/1487/9530/5155/5728/57534/7415/5704/23164/5903/207/6774/2247/3717/192669/5706/3082/55869/102/6934/5528/10827/2309/4193/5599/7048/27436/4040/8323/891/5894/2305/7170/940/4893/5501/5684/3799/5245/2261/1786/5695/8850/5689/5925/5295/11052/7046/8074/10014/55914/5435/4087/2099/5437/5515/55294/11047/2033/1848/7535/5434/5908/1445/142678/9846/200734/7314/1024/8322/1452/4851/6868/4609/4869/5293/7855/5156/6199/8087/2885/5436/27161/22943/3725/5713/84335/808/1849/324/7979/3726/7414/7525/2254/4296/26523/408/3662/3845/2932/2534/7171/4686/6714/1026/7040/8036/2263/2064/5527/1385/9965",160
"R-HSA-6785807","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","54/2421","104/11287",0.519230769230769,2.42071775807835,7.60586951240546,6.73267907258713e-12,5.80356936057011e-09,4.20585178374928e-09,"7157/596/6624/3383/6367/7124/3569/3598/6347/4170/10538/4313/2308/3976/2335/595/3162/7076/207/6774/2247/3717/6097/3082/2309/79923/6657/3091/240/3689/5295/4314/301/6778/3687/948/4988/3592/4582/3312/4609/7422/3570/7431/4843/5743/3726/1278/2353/3662/5451/356/1026/7040",54
"R-HSA-3700989","R-HSA-3700989","Transcriptional Regulation by TP53","131/2421","356/11287",0.367977528089888,1.71555653017371,7.16873547819003,1.23714136429378e-11,7.10943904014161e-09,5.15221668092531e-09,"7157/79370/1820/1029/1350/5111/5170/904/64769/2475/83990/1027/6233/4513/27113/83667/3065/7001/79813/472/9167/1025/4514/5571/51616/54205/57103/5875/64121/4512/25946/94241/90809/1387/7936/1351/79109/7832/6875/9997/2539/11200/581/79837/5728/7874/207/9377/192669/1386/4850/639/6117/1432/51224/4193/8795/891/8738/8148/983/28984/9540/4331/637/387893/9212/5892/8851/6880/5562/3622/144455/9134/55367/54541/5435/51497/2936/4292/8445/5437/835/54815/5515/58528/672/6119/6884/1643/27327/64065/27244/2033/5434/6829/85456/55240/80010/7314/1017/1111/5565/4869/6923/2176/204851/7531/5436/27161/3725/5366/898/5457/9891/1647/10397/23112/2810/4194/7296/1457/1121/2177/26523/2353/7533/7534/1026/839/5527",131
"R-HSA-9006936","R-HSA-9006936","Signaling by TGFB family members","66/2421","158/11287",0.417721518987342,1.9474691387072,6.26713571350493,5.57121168829804e-09,2.40119223765646e-06,1.74014611154406e-06,"387/11167/2280/4089/904/6667/4325/6233/91/3065/6497/3690/1025/5914/4092/9612/4656/9958/7514/7076/64388/2247/192669/9110/4086/7048/5501/7046/5499/6925/4087/2200/658/23439/650/27327/8239/10273/2033/7314/1024/142/4613/4091/7049/4609/23645/657/54778/3623/27161/5045/6938/23112/6498/3726/4093/57530/4221/1278/26523/408/94/659/7040/93",66
"R-HSA-166520","R-HSA-166520","Signaling by NTRKs","57/2421","134/11287",0.425373134328358,1.98314191126154,5.98241191419172,2.79914017166462e-08,9.36987156112786e-06,6.79035410287576e-06,"4916/387/10221/5604/160/5800/4209/6722/3727/5291/10817/25759/3265/7074/581/4208/6774/1386/3398/1398/2152/5528/1432/4893/3397/8851/5295/163/1846/6456/8061/5515/3399/6016/1399/2033/1848/7425/1845/1795/1960/5978/1211/2885/5045/23237/2354/1849/6938/3726/10126/2353/3845/2534/6714/6195/1385",57
"R-HSA-8939211","R-HSA-8939211","ESR-mediated signaling","83/2421","222/11287",0.373873873873874,1.74304601999769,5.84278686939321,3.26097618136701e-08,9.36987156112786e-06,6.79035410287576e-06,"1956/857/596/8877/3014/8970/5170/904/8367/6667/1027/55970/554313/3065/6722/3727/1025/8363/4602/4313/2773/3265/1387/8347/595/7514/121504/2782/9687/207/192669/1386/8359/2783/5469/2309/4893/2771/6387/1509/7528/2784/8850/3021/5295/4314/8346/5435/2099/5437/55625/27327/2033/5434/8349/858/8370/2958/10681/4609/3480/8337/5436/1105/27161/2354/3725/865/808/10274/3169/23112/2957/3838/85236/861/26523/2353/5451/3845/5885/6714/1385",83
"R-HSA-449147","R-HSA-449147","Signaling by Interleukins","146/2421","456/11287",0.320175438596491,1.49269730501388,5.61218378142477,5.50135849029961e-08,1.35490600532522e-05,9.81901565272218e-06,"7157/596/6624/5604/3383/4001/4478/6367/7124/3569/6233/6773/3598/6347/6804/4170/3575/6950/7189/3181/10538/5291/6416/4313/351/2308/3976/2335/163702/552900/5478/3562/595/84818/3146/3162/7409/5700/9097/5704/4208/7076/207/6774/2247/3717/6097/3568/1386/26525/5706/3082/58985/1398/64806/5528/1432/2309/5599/836/79923/6657/1271/55540/3091/11274/5684/9683/240/5695/1154/5689/6352/3689/5295/2357/4314/28511/3458/4790/375/841/10454/5055/301/1846/3656/6778/7850/5783/5515/9173/3687/948/11047/4988/1399/1848/200081/5908/1845/9846/3977/3592/7314/6845/6175/920/4582/3312/4609/5293/7422/9244/3557/2885/3570/3725/5713/3635/53832/7431/1849/4843/7979/5743/6885/3726/29760/7525/759/1278/2353/5609/3662/5451/2534/7534/57161/356/6195/1026/654483/829/7040/1385",146
"R-HSA-1257604","R-HSA-1257604","PIP3 activates AKT signaling","93/2421","263/11287",0.35361216730038,1.64858344994605,5.56131748278805,1.10441499698663e-07,2.38001431850618e-05,1.72479845504159e-05,"7157/1956/4916/842/23396/5170/2475/1027/6233/5529/3065/7189/80012/5291/64121/2308/4233/2065/79109/5294/7409/8658/5700/79837/5155/5728/5704/7874/207/2247/192669/1386/5706/23186/3082/11060/5528/2309/4193/57761/940/57167/5684/2261/5695/23035/5689/6615/5295/8074/10014/2099/54815/5515/58528/9173/23466/27327/10273/7101/11047/6045/3643/2146/9846/7314/331/5293/8726/5156/5978/6199/2885/27161/3725/5713/84335/7979/23112/1457/2254/26523/2932/2534/2444/6714/1026/2263/2064/5527/1385/9965/57504",93
"R-HSA-453279","R-HSA-453279","Mitotic G1 phase and G1/S transition","57/2421","139/11287",0.410071942446043,1.9118058712881,5.65216535466132,1.2985153777402e-07,2.48737834580457e-05,1.80260525938365e-05,"7083/1871/1021/1029/5111/51053/1019/84515/1027/6233/3065/5753/7465/990/595/5700/5422/5704/207/3717/5706/6117/26271/891/983/4331/5684/993/5695/5000/5689/5925/5520/9134/7298/1032/4172/25/5515/6119/1859/11047/7314/1017/4176/4609/6241/23594/5713/54107/898/1870/7979/4171/6714/1026/894",57
"R-HSA-187037","R-HSA-187037","Signaling by NTRK1 (TRKA)","49/2421","115/11287",0.426086956521739,1.98646983819119,5.55610982812509,2.44025909045598e-07,4.20700667194611e-05,3.04882140905636e-05,"387/10221/5604/160/4209/6722/3727/5291/25759/3265/4208/6774/1386/3398/1398/2152/5528/1432/4893/3397/8851/5295/163/1846/6456/8061/5515/3399/6016/1399/2033/1848/7425/1845/1960/5978/1211/2885/23237/2354/1849/6938/3726/10126/2353/3845/6714/6195/1385",49
