"","Control__1","Control__2","Control__3","Dose0_005__1","Dose0_005__2","Dose0_005__3","Dose0_08__1","Dose0_08__2","Dose0_08__3","Dose2__1","Dose2__2","Dose2__3","Dose24__1","Dose24__2","Dose24__3"
"hsa-let-7a-3p",14,5,4,14,0,8,3,0,0,17,2,0,8,21,6
"hsa-let-7a-5p",0,11,2,11,0,12,9,8,3,0,14,5,3,20,24
"hsa-let-7b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"hsa-let-7b-5p",6,8,5,7,8,77,11,59,15,67,37,46,68,148,65
"hsa-let-7c-5p",18,32,2,24,21,95,4,20,3,11,14,45,35,34,19
"hsa-let-7d-3p",0,0,0,0,5,8,0,0,3,4,0,0,1,2,1
"hsa-let-7d-5p",0,0,0,0,0,3,0,0,0,0,1,0,0,1,0
"hsa-let-7e-3p",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"hsa-let-7e-5p",0,4,0,0,5,8,9,0,10,13,1,4,7,11,22
"hsa-let-7f-1-3p",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"hsa-let-7f-2-3p",0,0,0,0,0,0,0,0,2,1,0,0,0,3,3
"hsa-let-7f-5p",30,54,9,26,64,215,66,68,29,49,161,91,218,458,348
"hsa-let-7g-5p",6,7,18,7,10,126,8,30,22,31,20,25,32,68,23
"hsa-let-7i-5p",30,74,73,100,158,919,106,248,260,158,125,175,329,663,360
"hsa-miR-1-3p",0,0,9,6,7,0,0,0,0,0,0,0,0,0,0
"hsa-miR-100-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"hsa-miR-100-5p",97,76,47,111,52,540,57,186,186,239,156,131,198,428,350
"hsa-miR-101-3p",21,47,24,98,92,425,90,239,165,169,103,93,110,297,243
"hsa-miR-101-5p",0,0,0,0,0,2,0,0,0,0,0,0,0,0,6
"hsa-miR-10396a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"hsa-miR-10396a-5p",0,0,0,0,3,0,14,7,4,10,38,5,1,2,0
"hsa-miR-10396b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"hsa-miR-10396b-5p",0,0,0,0,3,0,14,7,4,10,38,8,1,3,0
"hsa-miR-103a-1-5p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103a-2-5p",0,0,0,0,0,9,0,0,0,0,0,0,0,0,2
"hsa-miR-103a-3p",51,86,66,96,80,1547,149,213,200,296,224,223,751,1654,1069
"hsa-miR-10400-5p",0,0,0,0,0,0,0,0,0,0,0,0,1,5,4
"hsa-miR-10401-3p",0,0,2,0,0,0,0,0,1,0,5,0,1,0,5
"hsa-miR-10401-5p",0,0,1,0,0,0,2,0,0,0,0,0,3,2,8
"hsa-miR-10527-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"hsa-miR-106a-5p",0,8,0,0,0,5,0,3,0,0,0,0,3,0,0
"hsa-miR-106b-3p",0,0,2,1,3,20,12,15,3,2,5,0,6,6,5
"hsa-miR-106b-5p",0,2,1,1,7,3,0,0,0,0,4,0,2,6,5
"hsa-miR-107",15,53,37,76,33,494,73,132,149,121,53,99,172,327,179
"hsa-miR-10a-3p",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"hsa-miR-10a-5p",0,1,0,13,3,8,0,0,0,0,0,1,0,1,2
"hsa-miR-10b-3p",0,0,0,0,0,0,0,0,0,3,0,0,2,0,0
"hsa-miR-10b-5p",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"hsa-miR-11181-3p",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"hsa-miR-1179",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"hsa-miR-1180-3p",16,8,18,16,33,153,49,35,42,20,19,21,30,101,53
"hsa-miR-1180-5p",0,3,0,0,0,3,4,8,2,1,0,0,1,2,4
"hsa-miR-12136",0,0,0,0,0,0,2,0,0,0,0,0,3,8,6
"hsa-miR-122-5p",0,20,0,0,0,0,0,0,0,0,0,3,5,1,0
"hsa-miR-124-3p",0,9,0,0,0,0,0,0,0,0,1,0,0,2,0
"hsa-miR-1246",5,24,9,0,16,341,53,20,6,20,4,42,29,110,246
"hsa-miR-1247-5p",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1255a",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"hsa-miR-125a-3p",0,3,3,0,6,12,13,2,1,8,4,6,0,0,2
"hsa-miR-125a-5p",49,29,1,55,29,292,36,103,113,85,73,84,466,653,268
"hsa-miR-125b-1-3p",0,0,0,0,1,2,0,0,0,5,5,1,0,0,0
"hsa-miR-125b-2-3p",5,6,5,7,8,14,27,13,10,7,12,19,2,10,12
"hsa-miR-125b-5p",16,28,18,97,50,264,24,74,44,70,59,39,229,343,179
"hsa-miR-126-3p",0,0,0,4,0,21,13,4,3,3,0,0,2,1,0
"hsa-miR-126-5p",0,0,0,4,12,1,5,4,1,4,10,1,0,1,3
"hsa-miR-1268a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-1269a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-127-3p",0,0,0,0,2,12,0,4,0,2,0,0,0,0,0
"hsa-miR-1271-5p",0,0,0,0,0,0,1,0,0,0,0,3,0,1,0
"hsa-miR-1273h-5p",0,0,0,0,0,0,2,0,0,6,2,4,0,0,4
"hsa-miR-1277-5p",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-128-3p",20,15,6,40,61,80,32,63,50,53,33,17,32,58,25
"hsa-miR-1281",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-1285-3p",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"hsa-miR-1285-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"hsa-miR-1287-5p",0,0,0,0,2,0,0,0,2,0,0,0,0,1,0
"hsa-miR-129-5p",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"hsa-miR-1290",28,82,27,12,35,227,679,147,21,68,138,400,51,171,95
"hsa-miR-1295a",1,0,0,0,0,4,0,0,0,4,0,0,0,0,0
"hsa-miR-1301-3p",0,0,0,6,0,0,0,0,0,0,6,2,0,1,2
"hsa-miR-1303",0,0,0,0,0,5,0,0,0,0,2,1,3,0,6
"hsa-miR-1304-3p",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-1306-5p",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-1307-3p",8,9,16,28,32,66,64,64,31,25,18,41,19,16,29
"hsa-miR-1307-5p",0,0,0,0,2,0,4,0,0,6,0,0,0,0,3
"hsa-miR-130a-3p",7,5,5,32,8,22,7,12,0,1,8,1,12,23,2
"hsa-miR-130b-3p",6,0,6,2,3,8,22,9,5,6,0,0,1,10,6
"hsa-miR-132-3p",0,6,4,44,20,102,27,33,29,27,54,24,52,106,57
"hsa-miR-132-5p",0,0,0,0,0,2,0,0,0,3,1,0,0,10,0
"hsa-miR-133a-3p",9,4,10,5,0,0,0,0,0,2,10,0,0,0,0
"hsa-miR-133b",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"hsa-miR-135a-5p",0,0,0,0,0,5,0,0,0,0,0,8,0,1,0
"hsa-miR-135b-5p",0,0,0,0,0,4,0,0,0,0,0,0,2,5,1
"hsa-miR-136-3p",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"hsa-miR-136-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"hsa-miR-138-1-3p",0,0,0,0,0,4,0,0,3,0,0,0,0,0,0
"hsa-miR-138-5p",19,8,1,10,47,23,12,20,0,7,13,8,2,8,15
"hsa-miR-139-5p",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"hsa-miR-140-3p",27,10,13,67,88,207,86,88,75,63,73,55,55,110,92
"hsa-miR-140-5p",0,0,0,0,0,13,0,0,0,6,0,2,0,1,1
"hsa-miR-141-3p",220,102,124,417,279,1953,396,332,718,624,498,242,626,1336,914
"hsa-miR-141-5p",0,0,0,0,0,2,0,0,0,0,2,8,1,0,3
"hsa-miR-142-3p",4,0,4,0,0,0,0,5,0,0,0,0,0,0,0
"hsa-miR-142-5p",4,0,0,0,0,0,1,0,0,1,0,7,0,0,0
"hsa-miR-143-3p",5,7,2,4,18,7,20,2,4,23,1,9,5,0,4
"hsa-miR-143-5p",0,1,0,2,0,0,7,0,2,5,5,4,3,0,3
"hsa-miR-144-3p",1,0,0,4,6,0,9,7,4,3,0,6,0,0,4
"hsa-miR-144-5p",0,9,5,1,9,3,3,0,0,0,0,10,7,0,0
"hsa-miR-145-3p",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"hsa-miR-145-5p",7,3,1,9,6,0,14,7,7,2,13,8,0,0,0
"hsa-miR-146a-5p",17,15,8,8,12,78,12,13,23,13,8,26,26,47,9
"hsa-miR-146b-5p",0,0,0,0,0,0,0,3,0,4,0,9,3,5,6
"hsa-miR-148a-3p",56,76,35,32,40,104,28,67,87,79,47,40,66,131,64
"hsa-miR-148a-5p",0,0,0,0,0,0,3,0,0,0,0,0,2,3,0
"hsa-miR-148b-3p",14,21,11,3,16,48,25,27,25,15,14,49,25,58,38
"hsa-miR-149-3p",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
"hsa-miR-149-5p",5,17,10,6,20,60,38,25,25,16,19,32,24,47,11
"hsa-miR-150-5p",6,4,0,3,0,48,0,11,5,4,11,1,7,19,8
"hsa-miR-151a-3p",13,10,0,12,20,98,12,44,31,28,33,17,24,79,19
"hsa-miR-151a-5p",10,12,10,8,13,90,24,20,5,18,5,18,10,71,60
"hsa-miR-151b",0,1,0,1,8,20,0,12,2,6,0,1,0,12,14
"hsa-miR-152-3p",4,0,5,1,0,24,3,5,9,9,5,4,15,39,23
"hsa-miR-153-3p",0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
"hsa-miR-153-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"hsa-miR-1537-3p",0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
"hsa-miR-155-5p",0,0,0,0,0,7,0,0,5,0,0,2,2,9,0
"hsa-miR-15a-5p",33,28,15,85,49,276,35,44,70,56,41,50,126,158,84
"hsa-miR-15b-3p",0,0,1,0,0,0,0,2,0,1,0,0,0,0,0
"hsa-miR-15b-5p",0,0,0,0,0,0,0,0,0,0,0,9,0,3,0
"hsa-miR-16-1-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"hsa-miR-16-2-3p",0,0,3,0,0,5,0,0,0,0,0,0,0,4,6
"hsa-miR-16-5p",79,114,35,286,88,1037,100,321,264,283,148,137,678,1103,404
"hsa-miR-17-3p",0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
"hsa-miR-17-5p",0,10,0,5,0,18,0,10,7,2,11,8,5,29,14
"hsa-miR-181a-2-3p",0,0,0,0,0,2,0,0,0,1,0,0,2,6,0
"hsa-miR-181a-3p",2,1,0,0,5,7,13,6,0,8,0,6,2,9,5
"hsa-miR-181a-5p",58,72,71,88,76,431,144,102,94,138,202,148,304,537,290
"hsa-miR-181b-5p",12,54,9,31,33,281,54,68,16,88,119,12,132,205,68
"hsa-miR-181c-3p",0,0,0,0,0,0,2,2,2,0,0,0,1,4,0
"hsa-miR-181c-5p",0,0,7,3,7,20,16,3,3,10,7,6,12,22,19
"hsa-miR-181d-5p",0,2,1,3,12,35,20,12,8,15,9,0,7,41,8
"hsa-miR-182-3p",9,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-182-5p",0,3,3,9,14,127,15,7,29,36,32,19,56,93,30
"hsa-miR-183-3p",0,0,0,0,0,3,0,0,0,0,0,0,1,10,0
"hsa-miR-183-5p",2,9,1,16,1,61,11,22,9,11,15,0,31,59,21
"hsa-miR-184",3,18,0,0,2,5,3,0,4,0,0,0,3,0,0
"hsa-miR-1843",0,3,0,4,0,3,0,4,1,4,0,4,5,0,2
