"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-5663202","R-HSA-5663202","Diseases of signal transduction by growth factor receptors and second messengers","160/2421","453/11287",0.353200883002208,1.64666599192314,7.34071328503331,3.02276930100825e-12,5.21125427493823e-09,3.77660052393462e-09,"2261/1786/3725/6711/7314/6868/5528/3690/3799/8322/3065/89780/142678/1387/3717/10827/11052/2065/5291/22872/182/4170/5684/6233/4233/5501/54567/7855/5155/55914/5529/8036/3082/4478/5434/1849/7046/5908/5689/1024/4609/5527/842/2305/5604/6400/7979/5435/6249/79412/5515/9759/55869/8850/2308/2534/8087/3726/4040/891/8658/7409/940/408/79109/23164/5436/3845/2335/102/1051/10817/80853/55294/5293/1452/7415/2033/1848/7535/4296/3265/1499/5700/5295/9530/4087/5245/2309/4193/5599/57534/4869/6934/9451/139285/5695/1956/5706/6199/4893/1385/4851/27436/5894/1445/22943/2932/7170/808/207/11064/5156/8323/5704/3662/7171/4916/5728/6774/2885/27044/200734/9846/2475/6714/7414/2254/4686/2247/4089/324/9965/2064/10014/8074/1487/26523/5170/84335/5294/2099/161742/27161/11047/1027/5925/9612/2263/7525/5437/57085/5713/2280/7048/5903/7157/192669/7040/1026",160
"R-HSA-6785807","R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling","54/2421","104/11287",0.519230769230769,2.42071775807835,7.60586951240546,6.73267907258713e-12,5.80356936057011e-09,4.20585178374928e-09,"6347/7124/3717/240/5743/4170/3569/3082/4609/3312/3592/3091/7422/2308/3726/2353/595/3687/6624/7076/5451/2335/3976/1278/3598/3383/3162/4988/6657/5295/2309/10538/4843/948/6097/356/4582/207/3662/6774/301/79923/596/3570/6778/2247/7431/6367/4313/4314/3689/7157/7040/1026",54
"R-HSA-3700989","R-HSA-3700989","Transcriptional Regulation by TP53","131/2421","356/11287",0.367977528089888,1.71555653017371,7.16873547819003,1.23714136429378e-11,7.10943904014161e-09,5.15221668092531e-09,"5892/3725/27327/5565/144455/7314/8148/1457/4331/3065/6119/6884/7533/5111/1387/6875/79813/672/4292/4850/898/7936/51224/6233/94241/472/2539/54205/28984/5434/90809/4512/7001/8795/23112/2936/5527/57103/79370/5457/639/5435/5515/904/27113/1647/6829/2353/891/1820/6117/7874/79109/983/5436/1351/7534/11200/80010/64769/4514/27244/1350/2177/6923/51497/2033/55240/4194/3622/1111/1017/10397/9997/4193/7832/4869/204851/54541/8851/55367/1121/207/2176/51616/83990/9134/54815/1025/85456/637/25946/387893/5728/9377/5366/5571/1432/835/2475/58528/5562/1386/839/6880/1029/79837/9212/1643/26523/581/83667/5170/8445/64065/27161/1027/4513/9167/2810/9540/64121/5875/8738/9891/5437/7531/7296/7157/192669/1026",131
"R-HSA-9006936","R-HSA-9006936","Signaling by TGFB family members","66/2421","158/11287",0.417721518987342,1.9474691387072,6.26713571350493,5.57121168829804e-09,2.40119223765646e-06,1.74014611154406e-06,"659/27327/11167/387/650/7314/3690/93/4656/3065/6497/4086/91/5499/6233/5501/7049/7046/64388/1024/5914/4609/10273/23112/4325/904/3726/142/4613/9110/6925/7076/6498/408/2200/23439/658/1278/4093/3623/4221/2033/57530/4091/4087/6667/657/7514/1025/94/2247/4089/6938/26523/4092/5045/27161/9958/8239/9612/54778/2280/7048/23645/192669/7040",66
"R-HSA-166520","R-HSA-166520","Signaling by NTRKs","57/2421","134/11287",0.425373134328358,1.98314191126154,5.98241191419172,2.79914017166462e-08,9.36987156112786e-06,6.79035410287576e-06,"23237/387/5528/5291/1960/7074/4208/5800/6722/160/1849/6456/8061/5604/163/1795/3397/5515/2534/3726/10221/2353/3845/2152/10817/3398/2033/1848/3265/1398/5295/5978/4893/1385/8851/1846/4916/6774/1845/2885/7425/1432/6714/2354/1211/1386/6938/10126/3399/581/5045/1399/25759/3727/6195/6016/4209",57
"R-HSA-8939211","R-HSA-8939211","ESR-mediated signaling","83/2421","222/11287",0.373873873873874,1.74304601999769,5.84278686939321,3.26097618136701e-08,9.36987156112786e-06,6.79035410287576e-06,"8367/3725/27327/3480/8970/3065/1387/865/9687/2773/8337/861/2782/8359/6722/5434/121504/8363/4609/23112/5435/904/4602/8850/2353/595/3021/858/6387/5436/3845/5451/1105/7528/2958/2783/8346/2033/55970/3265/3169/5295/85236/6667/2309/1956/8349/4893/1385/554313/808/207/7514/5885/1025/8370/8877/596/2784/6714/2354/2771/3838/10274/1386/2957/26523/5170/2099/3014/5469/8347/27161/1509/1027/10681/55625/3727/5437/4313/4314/857/192669",83
"R-HSA-449147","R-HSA-449147","Signaling by Interleukins","146/2421","456/11287",0.320175438596491,1.49269730501388,5.61218378142477,5.50135849029961e-08,1.35490600532522e-05,9.81901565272218e-06,"759/3725/2357/53832/7314/5528/375/6347/7124/3717/240/10454/6175/829/5743/5291/552900/4170/5684/6233/3569/64806/9683/3575/4208/3082/4478/351/1849/3146/5908/5689/4609/6950/5604/84818/3312/7979/3592/3091/5515/7189/7422/2308/2534/3726/163702/2353/595/3656/9173/3562/3687/7409/6624/4790/6352/7076/5451/9097/2335/7534/3568/9244/200081/3976/5293/1278/3598/1848/3383/3162/1398/58985/5700/4988/6657/6845/5295/2309/5599/4001/10538/5478/3635/4843/7850/5695/5706/948/6097/356/1271/1385/654483/55540/4582/207/841/1846/5704/3662/6774/1845/301/79923/2885/3458/1432/596/3977/9846/836/5609/3570/6778/6885/3181/2247/57161/1386/6773/6804/29760/1154/11274/5783/11047/1399/5055/7431/6416/7525/6367/26525/4313/28511/4314/6195/5713/3689/7157/920/7040/1026/3557",146
"R-HSA-1257604","R-HSA-1257604","PIP3 activates AKT signaling","93/2421","263/11287",0.35361216730038,1.64858344994605,5.56131748278805,1.10441499698663e-07,2.38001431850618e-05,1.72479845504159e-05,"2261/3725/27327/23035/7314/2146/1457/5528/3065/2065/5291/5684/6233/4233/5155/5529/3082/8726/5689/10273/23112/5527/842/7979/5515/7189/80012/2308/2534/57167/9173/8658/7409/940/7874/79109/3643/6615/7101/5293/6045/23186/5700/5295/2309/4193/23466/5695/1956/5706/6199/5978/1385/2932/207/23396/54815/5156/5704/4916/5728/331/2885/9846/2475/6714/58528/2254/57761/57504/2247/2444/1386/9965/2064/79837/10014/8074/26523/5170/84335/5294/2099/27161/11047/1027/64121/2263/11060/5713/7157/192669/1026",93
"R-HSA-453279","R-HSA-453279","Mitotic G1 phase and G1/S transition","57/2421","139/11287",0.410071942446043,1.9118058712881,5.65216535466132,1.2985153777402e-07,2.48737834580457e-05,1.80260525938365e-05,"7083/7314/1032/4331/3065/6119/5111/3717/898/4171/5684/6233/7298/84515/5753/5689/4609/7979/5515/595/891/1859/6117/983/1870/993/1019/7465/4176/5422/5700/1017/5695/5706/207/9134/5704/51053/4172/6714/23594/25/1871/1029/990/26271/5000/1021/54107/11047/1027/5925/5520/6241/5713/894/1026",57
"R-HSA-187037","R-HSA-187037","Signaling by NTRK1 (TRKA)","49/2421","115/11287",0.426086956521739,1.98646983819119,5.55610982812509,2.44025909045598e-07,4.20700667194611e-05,3.04882140905636e-05,"23237/387/5528/5291/1960/4208/6722/160/1849/6456/8061/5604/163/3397/5515/3726/10221/2353/3845/2152/3398/2033/1848/3265/1398/5295/5978/4893/1385/8851/1846/6774/1845/2885/7425/1432/6714/2354/1211/1386/6938/10126/3399/1399/25759/3727/6195/6016/4209",49
